iso_code,countryname,months,total_cases,total_deaths,fatality_rate
AFG,Afghanistan,2021-05,71838,2944,0.04098109635568918957
AFG,Afghanistan,2021-06,118659,4871,0.04105040494189231327
AFG,Afghanistan,2021-07,147154,6708,0.04558489745436753333
AFG,Afghanistan,2021-08,153220,7118,0.04645607623025714659
AFG,Afghanistan,2021-09,155072,7200,0.04643004539826661164
AGO,Angola,2021-05,34551,766,0.02217012532198778617
AGO,Angola,2021-06,38849,900,0.02316661947540477232
AGO,Angola,2021-07,42777,1011,0.02363419594641980504
AGO,Angola,2021-08,47544,1217,0.02559734141006225812
AGO,Angola,2021-09,55583,1513,0.02722055304679488333
ALB,Albania,2021-02,107167,1796,0.01675889033004562972
ALB,Albania,2021-03,125157,2235,0.01785757089096095304
ALB,Albania,2021-04,131085,2394,0.01826295914864400961
ALB,Albania,2021-05,132315,2451,0.01852397687337036617
ALB,Albania,2021-06,132521,2456,0.01853291176492782276
ALB,Albania,2021-07,133081,2457,0.01846244016801797402
ALB,Albania,2021-08,146387,2498,0.01706435680764002268
ALB,Albania,2021-09,168188,2653,0.01577401479296977192
ARE,United Arab Emirates,2021-01,303609,850,0.00279965350170778864
ARE,United Arab Emirates,2021-02,391524,1221,0.00311858276887240629
ARE,United Arab Emirates,2021-03,461444,1497,0.00324416397222631565
ARE,United Arab Emirates,2021-04,520236,1587,0.00305053860171153092
ARE,United Arab Emirates,2021-05,570836,1680,0.00294305194486682690
ARE,United Arab Emirates,2021-06,632907,1811,0.00286139985811501532
ARE,United Arab Emirates,2021-07,680858,1949,0.00286256458762326359
ARE,United Arab Emirates,2021-08,718370,2041,0.00284115427982794382
ARE,United Arab Emirates,2021-09,735180,2094,0.00284828205337468375
ARG,Argentina,2021-01,1927239,47974,0.02489260543191581324
ARG,Argentina,2021-02,2107365,51965,0.02465875631416484567
ARG,Argentina,2021-03,2348821,55858,0.02378129282733763024
ARG,Argentina,2021-04,2977363,63865,0.02145018931181720200
ARG,Argentina,2021-05,3781784,78093,0.02064977798837797188
ARG,Argentina,2021-06,4470374,94304,0.02109532669973474255
ARG,Argentina,2021-07,4929764,105721,0.02144544850422859999
ARG,Argentina,2021-08,5185620,111812,0.02156193473490151612
ARG,Argentina,2021-09,5251940,114954,0.02188791189541388515
ARM,Armenia,2021-06,225095,4514,0.02005375508118794287
ARM,Armenia,2021-07,230110,4614,0.02005127982269349442
ARM,Armenia,2021-08,242135,4844,0.02000536890577570364
ARM,Armenia,2021-09,259007,5264,0.02032377503310721332
ATG,Antigua and Barbuda,2021-05,1260,42,0.03333333333333333333
ATG,Antigua and Barbuda,2021-06,1263,42,0.03325415676959619952
ATG,Antigua and Barbuda,2021-07,1303,43,0.03300076745970836531
ATG,Antigua and Barbuda,2021-08,1715,44,0.02565597667638483965
ATG,Antigua and Barbuda,2021-09,2923,64,0.02189531303455354088
AUS,Australia,2021-05,30118,910,0.03021448967394913341
AUS,Australia,2021-06,30643,910,0.02969683125020396175
AUS,Australia,2021-07,34383,924,0.02687374574644446383
AUS,Australia,2021-08,55093,1012,0.01836893979271413791
AUS,Australia,2021-09,100911,1256,0.01244661137041551466
AUT,Austria,2021-01,414398,7721,0.01863184667879671234
AUT,Austria,2021-02,459440,8561,0.01863355389169423646
AUT,Austria,2021-03,546229,9339,0.01709722479033518909
AUT,Austria,2021-04,618870,10205,0.01648973128443776561
AUT,Austria,2021-05,644815,10603,0.01644347603576219536
AUT,Austria,2021-06,650412,10702,0.01645418596212862001
AUT,Austria,2021-07,659056,10737,0.01629148357650943167
AUT,Austria,2021-08,688305,10782,0.01566456730664458343
AUT,Austria,2021-09,737202,10976,0.01488872791989169861
AZE,Azerbaijan,2021-04,319109,4517,0.01415503793374677618
AZE,Azerbaijan,2021-05,333956,4913,0.01471151888272706584
AZE,Azerbaijan,2021-06,336047,4974,0.01480150098051760617
AZE,Azerbaijan,2021-07,343849,5023,0.01460815648729529532
AZE,Azerbaijan,2021-08,424891,5636,0.01326457844482467268
AZE,Azerbaijan,2021-09,481401,6476,0.01345240246696620904
BEL,Belgium,2020-12,646496,19528,0.03020591001336435183
BEL,Belgium,2021-01,710153,21092,0.02970064197433510807
BEL,Belgium,2021-02,771511,22077,0.02861527573812946283
BEL,Belgium,2021-03,882453,23016,0.02608184231908101621
BEL,Belgium,2021-04,990229,24230,0.02446908745350822890
BEL,Belgium,2021-05,1062001,24955,0.02349809463456249100
BEL,Belgium,2021-06,1085131,25173,0.02319812077988740530
BEL,Belgium,2021-07,1124715,25241,0.02244212978398972184
BEL,Belgium,2021-08,1184664,25380,0.02142379611434128158
BEL,Belgium,2021-09,1238358,25568,0.02064669505910245664
BEN,Benin,2021-05,8058,101,0.01253412757508066518
BEN,Benin,2021-06,8199,104,0.01268447371630686669
BEN,Benin,2021-07,8394,108,0.01286633309506790565
BEN,Benin,2021-08,13366,128,0.00957653748316624271
BEN,Benin,2021-09,22958,154,0.00670790138513807823
BFA,Burkina Faso,2021-08,13777,171,0.01241199099949190680
BFA,Burkina Faso,2021-09,14183,181,0.01276175703306775717
BGD,Bangladesh,2021-04,759132,11450,0.01508301586548847895
BGD,Bangladesh,2021-05,800540,12619,0.01576310990081694856
BGD,Bangladesh,2021-06,913258,14503,0.01588050693232361501
BGD,Bangladesh,2021-07,1249484,20685,0.01655483383540725612
BGD,Bangladesh,2021-08,1500618,26195,0.01745614140307526632
BGD,Bangladesh,2021-09,1552563,27439,0.01767335689437401252
BGR,Bulgaria,2021-01,218748,9045,0.04134894947610949586
BGR,Bulgaria,2021-02,247038,10191,0.04125276273285891239
BGR,Bulgaria,2021-03,342633,13197,0.03851643011618845820
BGR,Bulgaria,2021-04,404380,16399,0.04055343983381967456
BGR,Bulgaria,2021-05,418577,17700,0.04228612656691600351
BGR,Bulgaria,2021-06,421829,18061,0.04281592778116250898
BGR,Bulgaria,2021-07,425054,18213,0.04284867334503380747
BGR,Bulgaria,2021-08,455742,18896,0.04146205528566601279
BGR,Bulgaria,2021-09,495397,20638,0.04165951751827322329
BHR,Bahrain,2021-03,144445,521,0.00360690920419536848
BHR,Bahrain,2021-04,176934,646,0.00365107893338759085
BHR,Bahrain,2021-05,240531,980,0.00407431890276097468
BHR,Bahrain,2021-06,265827,1352,0.00508601458843533576
BHR,Bahrain,2021-07,269186,1384,0.00514142637432853120
BHR,Bahrain,2021-08,272540,1388,0.00509283041021501431
BHR,Bahrain,2021-09,274877,1389,0.00505316923569451064
BHS,Bahamas,2021-05,11796,230,0.01949813496100373008
BHS,Bahamas,2021-06,12586,246,0.01954552677578261560
BHS,Bahamas,2021-07,14840,287,0.01933962264150943396
BHS,Bahamas,2021-08,18139,354,0.01951596008600253597
BHS,Bahamas,2021-09,20775,523,0.02517448856799037304
BIH,Bosnia and Herzegovina,2021-04,198461,8551,0.04308655101002212022
BIH,Bosnia and Herzegovina,2021-05,204012,9253,0.04535517518577338588
BIH,Bosnia and Herzegovina,2021-06,205022,9665,0.04714128239896206261
BIH,Bosnia and Herzegovina,2021-07,205655,9687,0.04710315820184289222
BIH,Bosnia and Herzegovina,2021-08,213853,9803,0.04583989937012807863
BIH,Bosnia and Herzegovina,2021-09,232237,10508,0.04524688141855087691
BLR,Belarus,2021-03,321807,2247,0.00698244600024238130
BLR,Belarus,2021-04,358738,2542,0.00708595130708204874
BLR,Belarus,2021-05,394439,2851,0.00722798709052603825
BLR,Belarus,2021-06,417189,3143,0.00753375568387469468
BLR,Belarus,2021-07,446040,3454,0.00774370011658147251
BLR,Belarus,2021-08,481532,3780,0.00784994559032421521
BLR,Belarus,2021-09,532149,4102,0.00770836739334284195
BLZ,Belize,2021-05,12809,324,0.02529471465375907565
BLZ,Belize,2021-06,13251,329,0.02482831484416270470
BLZ,Belize,2021-07,14163,337,0.02379439384311233496
BLZ,Belize,2021-08,16353,362,0.02213661101938482236
BLZ,Belize,2021-09,19945,405,0.02030584106292303836
BOL,Bolivia,2021-03,272411,12257,0.04499451196904677124
BOL,Bolivia,2021-04,303732,12951,0.04263956382600450397
BOL,Bolivia,2021-05,371279,14524,0.03911882977491320543
BOL,Bolivia,2021-06,439624,16767,0.03813941004130802686
BOL,Bolivia,2021-07,473506,17821,0.03763627071251473054
BOL,Bolivia,2021-08,490879,18452,0.03758971151750227653
BOL,Bolivia,2021-09,499202,18707,0.03747380819788382258
BRA,Brazil,2021-02,10551259,254942,0.02416223504702140285
BRA,Brazil,2021-03,12748747,321515,0.02521934116348845891
BRA,Brazil,2021-04,14659011,403781,0.02754490053933379271
BRA,Brazil,2021-05,16545554,462791,0.02797071648371520228
BRA,Brazil,2021-06,18557141,518066,0.02791733920650815770
BRA,Brazil,2021-07,19917855,556370,0.02793322875379904111
BRA,Brazil,2021-08,20776870,580413,0.02793553600710790413
BRA,Brazil,2021-09,21366395,594653,0.02783122749532618862
BRB,Barbados,2021-05,4017,47,0.01170027383619616629
BRB,Barbados,2021-06,4081,47,0.01151678510169076207
BRB,Barbados,2021-07,4390,48,0.01093394077448747153
BRB,Barbados,2021-08,5032,50,0.00993640699523052464
BRB,Barbados,2021-09,7764,68,0.00875837197320968573
BRN,Brunei,2021-04,224,3,0.01339285714285714286
BRN,Brunei,2021-05,242,3,0.01239669421487603306
BRN,Brunei,2021-06,260,3,0.01153846153846153846
BRN,Brunei,2021-07,337,3,0.00890207715133531157
BRN,Brunei,2021-08,2712,9,0.00331858407079646018
BRN,Brunei,2021-09,6700,38,0.00567164179104477612
BTN,Bhutan,2021-07,2515,2,0.00079522862823061630
BTN,Bhutan,2021-08,2596,3,0.00115562403697996918
BTN,Bhutan,2021-09,2599,3,0.00115429011158137745
BWA,Botswana,2021-06,69680,1125,0.01614523536165327210
BWA,Botswana,2021-07,106690,1569,0.01470615802793139001
BWA,Botswana,2021-08,156927,2261,0.01440797313400498321
BWA,Botswana,2021-09,178050,2367,0.01329401853411962932
CAF,Central African Republic,2021-09,11371,100,0.00879430129276229004
CAN,Canada,2021-01,783735,20041,0.02557114330736792411
CAN,Canada,2021-02,871243,21995,0.02524553999286077478
CAN,Canada,2021-03,989493,22960,0.02320380235130516335
CAN,Canada,2021-04,1229305,24220,0.01970218944850952367
CAN,Canada,2021-05,1389814,25548,0.01838231590702065168
CAN,Canada,2021-06,1423170,26296,0.01847706177055446644
CAN,Canada,2021-07,1438457,26599,0.01849134176412642158
CAN,Canada,2021-08,1507092,26989,0.01790799765375969085
CAN,Canada,2021-09,1620537,27751,0.01712457043560251941
CHE,Switzerland,2020-12,452296,7873,0.01740674248722075809
CHE,Switzerland,2021-01,521320,9523,0.01826709122995473030
CHE,Switzerland,2021-02,554932,10016,0.01804905826299438490
CHE,Switzerland,2021-03,601124,10297,0.01712957725860221851
CHE,Switzerland,2021-04,659974,10555,0.01599305427183495107
CHE,Switzerland,2021-05,694740,10712,0.01541871779370699830
CHE,Switzerland,2021-06,703004,10775,0.01532708206496691342
CHE,Switzerland,2021-07,717665,10793,0.01503905025325186542
CHE,Switzerland,2021-08,779666,10899,0.01397906282946800297
CHE,Switzerland,2021-09,836483,11060,0.01322202603041544180
CHL,Chile,2021-01,727109,18452,0.02537721304508677516
CHL,Chile,2021-02,824625,20572,0.02494709716537820221
CHL,Chile,2021-03,995538,23135,0.02323869103941788259
CHL,Chile,2021-04,1198245,26353,0.02199299809304441078
CHL,Chile,2021-05,1384346,29300,0.02116522892398287711
CHL,Chile,2021-06,1555902,32545,0.02091712717124857478
CHL,Chile,2021-07,1615771,35448,0.02193875245935222256
CHL,Chile,2021-08,1638675,36937,0.02254077227027934154
CHL,Chile,2021-09,1652364,37445,0.02266147168541556219
CHN,China,2021-08,94961,4636,0.04882004191194279757
CHN,China,2021-09,96148,4636,0.04821733161376211674
CIV,Cote d'Ivoire,2021-09,59977,607,0.01012054620938026243
CMR,Cameroon,2021-05,78929,1275,0.01615375844113063639
CMR,Cameroon,2021-06,80858,1324,0.01637438472383684979
CMR,Cameroon,2021-07,82064,1334,0.01625560538116591928
CMR,Cameroon,2021-08,83425,1350,0.01618219958046149236
CMR,Cameroon,2021-09,85414,1368,0.01601610977123188236
COD,Democratic Republic of Congo,2021-07,49917,1038,0.02079451890137628463
COD,Democratic Republic of Congo,2021-08,54863,1059,0.01930262654247853745
COD,Democratic Republic of Congo,2021-09,56862,1084,0.01906369807604375506
COG,Congo,2021-07,13186,178,0.01349916578188988321
COG,Congo,2021-08,13588,183,0.01346776567559611422
COG,Congo,2021-09,14244,193,0.01354956472900870542
COL,Colombia,2021-03,2406377,63422,0.02635580376640900408
COL,Colombia,2021-04,2859724,73720,0.02577871151202004109
COL,Colombia,2021-05,3406456,88774,0.02606051567963889743
COL,Colombia,2021-06,4240982,106544,0.02512248342482943809
COL,Colombia,2021-07,4785320,120723,0.02522777996037882524
COL,Colombia,2021-08,4909086,124945,0.02545178471104397030
COL,Colombia,2021-09,4952690,126178,0.02547666015841896020
COM,Comoros,2021-05,3881,146,0.03761917031692862664
COM,Comoros,2021-06,3936,146,0.03709349593495934959
COM,Comoros,2021-07,4028,147,0.03649453823237338630
COM,Comoros,2021-08,4068,147,0.03613569321533923304
COM,Comoros,2021-09,4128,147,0.03561046511627906977
CPV,Cape Verde,2021-05,30439,264,0.00867308387266335951
CPV,Cape Verde,2021-06,32457,286,0.00881165850201805466
CPV,Cape Verde,2021-07,33791,298,0.00881891627948270249
CPV,Cape Verde,2021-08,35354,313,0.00885331221361090683
CPV,Cape Verde,2021-09,37472,336,0.00896669513236549957
CRI,Costa Rica,2021-01,193276,2604,0.01347296094703946688
CRI,Costa Rica,2021-02,204341,2800,0.01370258538423517552
CRI,Costa Rica,2021-03,216764,2957,0.01364156409735934011
CRI,Costa Rica,2021-04,250991,3231,0.01287297154081222036
CRI,Costa Rica,2021-05,318986,4041,0.01266826757287153668
CRI,Costa Rica,2021-06,367938,4667,0.01268420222972348602
CRI,Costa Rica,2021-07,406814,5030,0.01236437290752039015
CRI,Costa Rica,2021-08,463726,5506,0.01187339075229769303
CRI,Costa Rica,2021-09,525999,6277,0.01193348276327521535
CYP,Cyprus,2021-01,30876,199,0.00644513538023059982
CYP,Cyprus,2021-02,34707,231,0.00665571786671276688
CYP,Cyprus,2021-03,45864,256,0.00558171986743415315
CYP,Cyprus,2021-04,65233,308,0.00472153664556282863
CYP,Cyprus,2021-05,72457,360,0.00496846405454269429
CYP,Cyprus,2021-06,75860,374,0.00493013445821249670
CYP,Cyprus,2021-07,101419,419,0.00413137577771423501
CYP,Cyprus,2021-08,113875,503,0.00441712403951701427
CYP,Cyprus,2021-09,118181,553,0.00467926316412959782
CZE,Czechia,2021-01,984774,16308,0.01656014476417939548
CZE,Czechia,2021-02,1235480,20339,0.01646242755851976560
CZE,Czechia,2021-03,1532332,26421,0.01724234695875306396
CZE,Czechia,2021-04,1630758,29267,0.01794686887938001837
CZE,Czechia,2021-05,1661272,30108,0.01812346202187239657
CZE,Czechia,2021-06,1667287,30303,0.01817503525187925054
CZE,Czechia,2021-07,1673576,30373,0.01814856331591753228
CZE,Czechia,2021-08,1679189,30404,0.01810635967720131564
CZE,Czechia,2021-09,1689620,30454,0.01802417111539872871
DEU,Germany,2020-12,1760520,33791,0.01919376093426942040
DEU,Germany,2021-01,2225659,57163,0.02568362898359542050
DEU,Germany,2021-02,2450295,70152,0.02863002209937987059
DEU,Germany,2021-03,2843644,76589,0.02693339953946415233
DEU,Germany,2021-04,3405365,83097,0.02440178952916941356
DEU,Germany,2021-05,3689921,88601,0.02401162518113531428
DEU,Germany,2021-06,3736205,90945,0.02434154442810284768
DEU,Germany,2021-07,3776724,91709,0.02428268520548496528
DEU,Germany,2021-08,3965681,92229,0.02325678742188289981
DEU,Germany,2021-09,4209098,93509,0.02221592369671601849
DJI,Djibouti,2021-04,11100,143,0.01288288288288288288
DJI,Djibouti,2021-05,11533,154,0.01335298708055146102
DJI,Djibouti,2021-06,11602,155,0.01335976555766247199
DJI,Djibouti,2021-07,11651,156,0.01338940863445197837
DJI,Djibouti,2021-08,11750,157,0.01336170212765957447
DJI,Djibouti,2021-09,12253,162,0.01322125193830082429
DMA,Dominica,2021-04,174,,
DMA,Dominica,2021-05,188,,
DMA,Dominica,2021-06,193,,
DMA,Dominica,2021-07,210,,
DMA,Dominica,2021-08,1638,4,0.00244200244200244200
DMA,Dominica,2021-09,3293,15,0.00455511691466747647
DNK,Denmark,2021-01,199156,2126,0.01067504870553736769
DNK,Denmark,2021-02,211883,2362,0.01114766168121085694
DNK,Denmark,2021-03,231295,2420,0.01046282885492552801
DNK,Denmark,2021-04,251249,2484,0.00988660651385677157
DNK,Denmark,2021-05,281985,2517,0.00892600670248417469
DNK,Denmark,2021-06,294503,2535,0.00860772216242279366
DNK,Denmark,2021-07,317909,2551,0.00802430884309660941
DNK,Denmark,2021-08,347028,2586,0.00745184826584598361
DNK,Denmark,2021-09,359062,2648,0.00737477093092557831
DOM,Dominican Republic,2021-03,252727,3325,0.01315648901779390409
DOM,Dominican Republic,2021-04,266561,3480,0.01305517311234576701
DOM,Dominican Republic,2021-05,292786,3628,0.01239130286284180255
DOM,Dominican Republic,2021-06,325221,3822,0.01175200863412879242
DOM,Dominican Republic,2021-07,341905,3963,0.01159093900352437080
DOM,Dominican Republic,2021-08,350173,4008,0.01144577109028965683
DOM,Dominican Republic,2021-09,357517,4041,0.01130295902013051128
DZA,Algeria,2021-08,196080,5269,0.02687168502651978784
DZA,Algeria,2021-09,202877,5786,0.02851974348989781986
ECU,Ecuador,2021-02,286155,15811,0.05525327182820499380
ECU,Ecuador,2021-03,328755,16847,0.05124484798710285775
ECU,Ecuador,2021-04,381862,18631,0.04878987697126186947
ECU,Ecuador,2021-05,426037,20572,0.04828688588080377995
ECU,Ecuador,2021-06,458504,21560,0.04702249053443372359
ECU,Ecuador,2021-07,487372,31631,0.06490114327454182842
ECU,Ecuador,2021-08,501201,32244,0.06433347100265163078
ECU,Ecuador,2021-09,508655,32747,0.06437958930906016848
EGY,Egypt,2021-05,262650,15096,0.05747572815533980583
EGY,Egypt,2021-06,281282,16169,0.05748323746275979266
EGY,Egypt,2021-07,284262,16524,0.05812947210671844988
EGY,Egypt,2021-08,288441,16736,0.05802226451856705531
EGY,Egypt,2021-09,302327,17224,0.05697142498023663120
ESP,Spain,2021-01,2743119,58319,0.02126010574094671066
ESP,Spain,2021-02,3188553,69142,0.02168444432317731585
ESP,Spain,2021-03,3284353,75459,0.02297530137594832224
ESP,Spain,2021-04,3524077,78216,0.02219474773110803198
ESP,Spain,2021-05,3678390,79953,0.02173586813796253252
ESP,Spain,2021-06,3808960,80875,0.02123282995883390742
ESP,Spain,2021-07,4447044,81486,0.01832363250734645306
ESP,Spain,2021-08,4855065,84340,0.01737154909357547221
ESP,Spain,2021-09,4951640,86298,0.01742816521394931780
EST,Estonia,2021-01,44208,419,0.00947792254795512125
EST,Estonia,2021-02,65600,589,0.00897865853658536585
EST,Estonia,2021-03,106424,902,0.00847553183492445313
EST,Estonia,2021-04,122019,1161,0.00951491161212598038
EST,Estonia,2021-05,129544,1252,0.00966466991910084604
EST,Estonia,2021-06,131064,1269,0.00968229262039919429
EST,Estonia,2021-07,133557,1272,0.00952402345066151531
EST,Estonia,2021-08,141956,1292,0.00910141170503536307
EST,Estonia,2021-09,153926,1346,0.00874446162441692761
ETH,Ethiopia,2021-09,342305,5439,0.01588933845547099809
FIN,Finland,2021-01,45238,671,0.01483266280560590654
FIN,Finland,2021-02,57672,742,0.01286586211679844639
FIN,Finland,2021-03,77452,844,0.01089707173475184630
FIN,Finland,2021-04,86808,914,0.01052898350382453230
FIN,Finland,2021-05,92488,956,0.01033647608338379033
FIN,Finland,2021-06,95742,969,0.01012095005326815818
FIN,Finland,2021-07,106802,984,0.00921331061216082096
FIN,Finland,2021-08,127182,1029,0.00809076756144737463
FIN,Finland,2021-09,139678,1069,0.00765331691461790690
FJI,Fiji,2021-05,438,4,0.00913242009132420091
FJI,Fiji,2021-06,4418,21,0.00475328202806699864
FJI,Fiji,2021-07,29781,238,0.00799167254289647762
FJI,Fiji,2021-08,46716,496,0.01061734737563147530
FJI,Fiji,2021-09,50807,592,0.01165193772511661779
FRA,France,2021-01,3255994,76200,0.02340299152885416865
FRA,France,2021-02,3815688,86579,0.02269027237027765373
FRA,France,2021-03,4705186,95798,0.02036008778398983590
FRA,France,2021-04,5677829,104676,0.01843591978553774691
FRA,France,2021-05,5978761,109693,0.01834711238666339063
FRA,France,2021-06,5837403,111259,0.01905967431064807415
FRA,France,2021-07,6190621,112061,0.01810173809703420707
FRA,France,2021-08,6835022,114926,0.01681428384575792148
FRA,France,2021-09,7087110,117281,0.01654849437923215528
GAB,Gabon,2021-04,23075,139,0.00602383531960996750
GAB,Gabon,2021-05,24429,152,0.00622211306234393549
GAB,Gabon,2021-06,24984,159,0.00636407300672430355
GAB,Gabon,2021-07,25384,164,0.00646076268515600378
GAB,Gabon,2021-08,25888,166,0.00641223733003708282
GAB,Gabon,2021-09,29515,183,0.00620023716754192783
GBR,United Kingdom,2021-01,3828187,106367,0.02778521529904364651
GBR,United Kingdom,2021-02,4188827,123083,0.02938364367876734943
GBR,United Kingdom,2021-03,4359982,126955,0.02911823947897032602
GBR,United Kingdom,2021-04,4432246,127775,0.02882849914016505402
GBR,United Kingdom,2021-05,4503231,128045,0.02843402881175760249
GBR,United Kingdom,2021-06,4817298,128404,0.02665477618366146333
GBR,United Kingdom,2021-07,5883421,129949,0.02208731960537925129
GBR,United Kingdom,2021-08,6821356,132859,0.01947691925183204043
GBR,United Kingdom,2021-09,7737941,136569,0.01764926871373146939
GEO,Georgia,2021-04,310310,4110,0.01324481969643259966
GEO,Georgia,2021-05,343963,4773,0.01387649252971976637
GEO,Georgia,2021-06,366078,5316,0.01452149541900906364
GEO,Georgia,2021-07,419534,5820,0.01387253476476280826
GEO,Georgia,2021-08,549811,7408,0.01347372096956954299
GEO,Georgia,2021-09,607155,8844,0.01456629690935593053
GHA,Ghana,2021-05,93898,785,0.00836013546614411383
GHA,Ghana,2021-06,95914,796,0.00829910127822841295
GHA,Ghana,2021-07,103019,823,0.00798881759675399684
GHA,Ghana,2021-08,119436,1036,0.00867410161090458488
GHA,Ghana,2021-09,127016,1150,0.00905397745165963343
GIN,Guinea,2021-03,19908,125,0.00627888286116134217
GIN,Guinea,2021-04,22215,144,0.00648210668467251857
GIN,Guinea,2021-05,23177,161,0.00694654183026276050
GIN,Guinea,2021-06,23770,171,0.00719394194362641986
GIN,Guinea,2021-07,25688,220,0.00856431018374338212
GIN,Guinea,2021-08,29501,337,0.01142334158164130029
GIN,Guinea,2021-09,30364,378,0.01244895270715320775
GMB,Gambia,2021-06,6079,181,0.02977463398585293634
GMB,Gambia,2021-07,7709,212,0.02750032429627707874
GMB,Gambia,2021-08,9698,319,0.03289338007836667354
GMB,Gambia,2021-09,9930,335,0.03373615307150050352
GNB,Guinea-Bissau,2021-06,3859,69,0.01788027986525006478
GNB,Guinea-Bissau,2021-07,4479,76,0.01696807323063183746
GNB,Guinea-Bissau,2021-08,5799,119,0.02052077944473185032
GNB,Guinea-Bissau,2021-09,6099,135,0.02213477619281849484
GNQ,Equatorial Guinea,2021-03,6914,102,0.01475267573040208273
GNQ,Equatorial Guinea,2021-04,7694,112,0.01455679750454899922
GNQ,Equatorial Guinea,2021-05,8529,118,0.01383515066244577324
GNQ,Equatorial Guinea,2021-06,8734,121,0.01385390428211586902
GNQ,Equatorial Guinea,2021-07,8880,123,0.01385135135135135135
GNQ,Equatorial Guinea,2021-08,9477,126,0.01329534662867996201
GNQ,Equatorial Guinea,2021-09,11806,142,0.01202778248348297476
GRC,Greece,2021-01,156957,5796,0.03692731130182151800
GRC,Greece,2021-02,191100,6504,0.03403453689167974882
GRC,Greece,2021-03,263689,8093,0.03069145849845841123
GRC,Greece,2021-04,345033,10381,0.03008697718768929349
GRC,Greece,2021-05,402306,12095,0.03006418000228681650
GRC,Greece,2021-06,422456,12687,0.03003152991080727934
GRC,Greece,2021-07,493304,12940,0.02623128942802004444
GRC,Greece,2021-08,587964,13622,0.02316808512085773959
GRC,Greece,2021-09,648091,14727,0.02272366072048524050
GRD,Grenada,2021-04,160,1,0.00625000000000000000
GRD,Grenada,2021-05,161,1,0.00621118012422360248
GRD,Grenada,2021-06,161,1,0.00621118012422360248
GRD,Grenada,2021-07,164,1,0.00609756097560975610
GRD,Grenada,2021-08,461,2,0.00433839479392624729
GRD,Grenada,2021-09,5005,130,0.02597402597402597403
GTM,Guatemala,2021-03,193834,6840,0.03528792678271097950
GTM,Guatemala,2021-04,227671,7524,0.03304768723289307817
GTM,Guatemala,2021-05,254417,8165,0.03209298120801675989
GTM,Guatemala,2021-06,293583,9215,0.03138805721039705978
GTM,Guatemala,2021-07,368484,10339,0.02805820605507973209
GTM,Guatemala,2021-08,470277,11926,0.02535952215396457832
GTM,Guatemala,2021-09,550333,13394,0.02433799172501013023
GUY,Guyana,2021-04,13283,296,0.02228412256267409471
GUY,Guyana,2021-05,16952,389,0.02294714487966021708
GUY,Guyana,2021-06,20055,469,0.02338568935427574171
GUY,Guyana,2021-07,22523,541,0.02401989077831549971
GUY,Guyana,2021-08,25548,622,0.02434632847972444027
GUY,Guyana,2021-09,31236,772,0.02471507235241388142
HKG,Hong Kong,2021-03,11467,205,0.01787738728525333566
HKG,Hong Kong,2021-04,11774,209,0.01775097672838457618
HKG,Hong Kong,2021-05,11841,210,0.01773498859893590068
HKG,Hong Kong,2021-06,11923,211,0.01769688836702172272
HKG,Hong Kong,2021-07,11984,212,0.01769025367156208278
HKG,Hong Kong,2021-08,12112,212,0.01750330250990752972
HKG,Hong Kong,2021-09,12196,213,0.01746474253853722532
HND,Honduras,2021-04,212333,5281,0.02487131063000098901
HND,Honduras,2021-05,238227,6353,0.02666784201622821930
HND,Honduras,2021-06,262760,7005,0.02665930887501902877
HND,Honduras,2021-07,297111,7834,0.02636724995035525443
HND,Honduras,2021-08,338757,8850,0.02612492140383814947
HND,Honduras,2021-09,363106,9681,0.02666163599610031231
HRV,Croatia,2021-01,232426,5027,0.02162838925077228881
HRV,Croatia,2021-02,242973,5526,0.02274326777049301774
HRV,Croatia,2021-03,271632,5947,0.02189359132944572068
HRV,Croatia,2021-04,332183,7081,0.02131656346050219307
HRV,Croatia,2021-05,356181,8026,0.02253348718769389720
HRV,Croatia,2021-06,359872,8206,0.02280255201849546505
HRV,Croatia,2021-07,363615,8259,0.02271358442308485624
HRV,Croatia,2021-08,373998,8334,0.02228354162321723646
HRV,Croatia,2021-09,400108,8606,0.02150919251802013456
HTI,Haiti,2021-07,20077,545,0.02714548986402350949
HTI,Haiti,2021-08,20896,586,0.02804364471669218989
HTI,Haiti,2021-09,21540,610,0.02831940575673166202
HUN,Hungary,2021-01,367586,12524,0.03407093850146632353
HUN,Hungary,2021-02,428599,14974,0.03493708571415238953
HUN,Hungary,2021-03,652433,20737,0.03178410656726437810
HUN,Hungary,2021-04,779348,27540,0.03533723060814937615
HUN,Hungary,2021-05,804538,29733,0.03695661360930123872
HUN,Hungary,2021-06,808128,29992,0.03711293260473588342
HUN,Hungary,2021-07,809491,30026,0.03709244451142755139
HUN,Hungary,2021-08,812337,30058,0.03700188468578927219
HUN,Hungary,2021-09,821261,30171,0.03673740747460307990
IDN,Indonesia,2021-01,1078314,29998,0.02781935503016746514
IDN,Indonesia,2021-02,1334634,36166,0.02709806583677622479
IDN,Indonesia,2021-03,1511712,40858,0.02702763489341885227
IDN,Indonesia,2021-04,1668368,45521,0.02728474772951770832
IDN,Indonesia,2021-05,1821703,50578,0.02776413059648032638
IDN,Indonesia,2021-06,2178272,58491,0.02685201848070397085
IDN,Indonesia,2021-07,3409658,94119,0.02760364822512991039
IDN,Indonesia,2021-08,4089801,133023,0.03252554341886072207
